Dealer_Region,Body Style,YoY Next Quarter Growth Rate
Pasco,Hardtop,44.00365143
Austin,SUV,31.03913507
Greenville,SUV,28.29163478
Austin,Hardtop,24.06608554
Janesville,Hardtop,23.07235528
Middletown,Sedan,21.51786901
Greenville,Hardtop,21.41796498
Scottsdale,SUV,21.17693249
Janesville,SUV,20.48141214
Scottsdale,Hardtop,18.54741055
Aurora,SUV,18.42716031
Aurora,Passenger,16.67440949
Middletown,Hardtop,16.61533829
Austin,Passenger,16.04078145
Janesville,Passenger,16.01474328
Aurora,Hardtop,15.26410193
Scottsdale,Sedan,15.13649668
Greenville,Passenger,13.28641438
Aurora,Sedan,12.94071805
Pasco,SUV,12.32565429
Middletown,SUV,11.67748908
Austin,Sedan,10.3237176
Scottsdale,Passenger,9.83231008
Pasco,Passenger,9.144042199
Janesville,Sedan,8.917132569
Pasco,Sedan,8.538600961
Middletown,Passenger,6.399524699
Scottsdale,Hatchback,3.610258591
Greenville,Sedan,2.182148856
Aurora,Hatchback,1.850489341
Greenville,Hatchback,1.405182846
Pasco,Hatchback,1.26430596
Middletown,Hatchback,0.888031541
Janesville,Hatchback,-1.014823777
Austin,Hatchback,-7.973575952
